x1,x2,y
18.235078,54.601502,77.00
18.235278,54.601486,70.00
18.235920,54.601387,71.00
18.236480,54.601308,71.00
18.236674,54.601298,73.00
18.237004,54.601233,72.00
18.237356,54.601173,71.00
18.237874,54.601095,69.00
18.238029,54.601062,69.00
18.238132,54.600996,65.00
18.238189,54.600913,65.00
18.238155,54.600847,62.00
18.238094,54.600776,61.00
18.237881,54.600637,62.00
18.237466,54.600464,61.00
18.237333,54.600398,58.00
18.237069,54.600247,55.00
18.236924,54.600186,55.00
18.236773,54.600139,52.00
18.236702,54.600067,52.00
18.236677,54.599972,59.00
18.236729,54.599899,62.00
18.236838,54.599838,62.00
18.236966,54.599787,61.00
18.237270,54.599708,60.00
18.237454,54.599673,59.00
18.237817,54.599615,63.00
18.238160,54.599608,63.00
18.238974,54.599530,63.00
18.239613,54.599415,57.00
18.240094,54.599345,60.00
18.240295,54.599310,59.00
18.240537,54.599253,61.00
18.240720,54.599191,61.00
18.240870,54.599100,60.00
18.240959,54.598994,60.00
18.241096,54.598747,62.00
18.241186,54.598637,64.00
18.241338,54.598568,66.00
18.241509,54.598548,67.00
18.241666,54.598555,65.00
18.241837,54.598577,65.00
18.242269,54.598659,65.00
18.242526,54.598690,64.00
18.242756,54.598732,64.00
18.243436,54.598800,67.00
18.243862,54.598825,64.00
18.244360,54.598888,64.00
18.244588,54.598908,65.00
18.245257,54.598884,67.00
18.245719,54.598844,67.00
18.246325,54.598762,69.00
18.246543,54.598742,69.00
18.246767,54.598729,68.00
18.247229,54.598718,68.00
18.247631,54.598701,69.00
18.247831,54.598703,66.00
18.248472,54.598731,66.00
18.248649,54.598732,64.00
18.248883,54.598708,62.00
18.249125,54.598693,61.00
18.249554,54.598693,61.00
18.250418,54.598748,58.00
18.250888,54.598806,62.00
18.251147,54.598820,62.00
18.251641,54.598832,60.00
18.251834,54.598848,59.00
18.252068,54.598853,61.00
18.252532,54.598831,56.00
18.253039,54.598825,55.00
18.253482,54.598834,57.00
18.254097,54.598900,64.00
18.254321,54.598912,62.00
18.254844,54.598927,64.00
