x1,x2,y
18.110004,54.206724,247.20
18.110719,54.206999,243.83
18.111593,54.207415,231.81
18.111640,54.207622,228.45
18.111132,54.208016,221.72
18.110208,54.209108,237.10
18.109940,54.210054,236.62
18.109520,54.210823,239.51
18.109034,54.211426,236.14
18.108633,54.212139,238.54
18.108374,54.212530,238.54
18.107899,54.213302,249.12
18.106838,54.214272,247.20
18.105811,54.215581,251.52
18.105636,54.215604,262.10
18.105117,54.216076,261.62
18.103500,54.216788,253.44
18.103198,54.217026,249.60
18.103271,54.216947,237.58
18.102449,54.218167,232.78
18.102354,54.218280,239.99
18.102280,54.218429,240.47
18.102026,54.218794,244.79
18.102246,54.219030,246.23
18.101423,54.220153,245.75
18.101453,54.220695,239.99
18.101284,54.220859,239.51
18.099889,54.221374,238.06
18.099332,54.221963,238.54
18.098330,54.223651,245.27
18.097766,54.224821,243.83
18.096867,54.226055,244.31
18.096585,54.226198,242.39
18.094454,54.226691,235.18
18.093897,54.226958,240.47
18.093338,54.227541,250.08
18.092488,54.228050,237.10
18.092232,54.228096,239.02
18.091946,54.228255,234.22
18.091543,54.228666,225.57
18.091334,54.228689,224.12
18.091059,54.228589,216.91
18.091032,54.228935,201.53
18.090816,54.229383,195.28
18.090323,54.229461,190.96
18.089513,54.229918,179.90
18.088634,54.230654,189.04
18.088377,54.230782,222.68
18.088350,54.231554,222.20
18.088252,54.231630,220.76
18.087315,54.231484,205.38
18.086868,54.231573,174.14
18.086381,54.231538,165.00
18.085772,54.231539,163.56
18.084615,54.232318,168.85
18.084467,54.232553,168.85
18.084743,54.232871,167.41
18.084687,54.233042,166.45
18.084096,54.233631,162.60
18.084138,54.233724,161.64
18.084556,54.233937,162.60
18.084445,54.234075,173.17
18.084012,54.234334,171.73
18.083790,54.234375,171.73
18.083576,54.234294,171.25
18.083231,54.233877,170.29
18.082689,54.233722,169.33
18.082152,54.233733,166.93
18.081232,54.233642,163.08
18.080685,54.233520,153.47
18.080124,54.233843,150.58
18.079312,54.235068,155.39
18.078501,54.235580,155.39
18.076094,54.235988,157.31
18.074878,54.235763,159.24
18.073689,54.235679,162.60
18.073136,54.235537,163.08
18.072995,54.235438,166.45
18.072585,54.235406,173.66
18.072439,54.235450,167.89
18.072113,54.235363,173.17
18.071782,54.235131,175.58
18.071876,54.235125,175.10
18.071549,54.235082,176.54
18.071401,54.234987,178.46
18.070469,54.234802,179.90
18.070438,54.234726,184.71
18.070167,54.234719,180.38
18.068607,54.234365,179.90
18.067458,54.234978,186.15
18.067017,54.235126,192.88
18.066672,54.235468,215.47
18.066112,54.235728,217.88
18.065939,54.236325,221.72
18.065243,54.236631,217.40
18.064305,54.237211,212.59
18.063768,54.237426,213.55
18.062568,54.237485,217.40
18.062531,54.237420,213.07
18.061313,54.237319,210.19
18.059775,54.236919,205.38
18.059051,54.236935,203.46
18.057791,54.236572,205.38
18.057470,54.236569,209.22
18.056764,54.236694,206.34
18.055854,54.236717,196.73
18.055482,54.236832,191.92
18.054997,54.236853,180.87
18.054499,54.236763,190.96
18.054434,54.236663,201.05
18.054616,54.236417,203.94
18.054793,54.236185,213.55
18.054912,54.235998,214.03
18.054747,54.235095,204.90
18.054885,54.234511,207.78
18.054139,54.233792,194.80
18.053893,54.233699,193.36
18.053483,54.233368,190.48
18.053000,54.233113,189.52
18.051277,54.231844,209.22
18.049915,54.231120,210.67
18.049593,54.230646,211.15
18.049662,54.230319,212.59
18.049391,54.228395,213.55
18.049202,54.228050,211.15
18.048380,54.227542,202.01
18.048974,54.227305,204.42
18.049652,54.226749,204.42
18.049500,54.226780,205.86
18.049086,54.227141,205.86
18.047527,54.227943,215.95
18.044736,54.228741,211.63
18.036874,54.230156,207.78
18.036258,54.230177,205.38
18.034986,54.230361,201.53
18.032950,54.230767,193.36
18.031385,54.230960,189.04
18.030601,54.230915,187.11
18.029311,54.230707,180.38
18.028368,54.230430,165.00
18.027721,54.230216,180.87
18.027522,54.230177,178.94
18.027000,54.229977,184.23
18.026774,54.230013,179.90
18.026507,54.229960,174.14
18.025849,54.230572,191.92
18.025695,54.231209,188.56
