x1,x2,y
19.121629,50.809875,308.24
19.121529,50.809757,301.51
19.121907,50.809738,275.56
19.122173,50.809959,275.56
19.122232,50.811345,276.52
19.121931,50.811673,277.96
19.118414,50.811674,276.04
19.114145,50.812075,277.00
19.113983,50.811883,277.00
19.104621,50.812092,284.21
19.104435,50.812223,283.73
19.100221,50.812125,295.74
19.099909,50.812277,296.70
19.099972,50.812622,295.26
19.099413,50.813547,294.30
19.098867,50.813511,296.22
19.098636,50.813250,297.18
19.098605,50.811580,301.03
19.097930,50.811150,302.47
19.097510,50.811594,305.36
19.097485,50.811432,305.36
19.096963,50.811933,307.28
19.097114,50.812152,306.80
19.096600,50.812199,306.32
19.096919,50.812114,306.80
19.096410,50.812593,301.99
19.096647,50.811764,303.91
19.096680,50.812208,303.43
19.097170,50.811897,302.47
19.097039,50.812094,301.99
19.096506,50.812164,303.43
19.096878,50.812138,303.43
19.097043,50.811645,301.99
19.097522,50.811411,299.59
19.098639,50.811525,295.74
19.100026,50.812309,289.01
19.128075,50.811638,257.29
19.128140,50.811829,257.29
19.133529,50.811612,250.08
19.143746,50.814010,250.56
19.153190,50.814885,281.32
19.193254,50.817486,252.96
19.196716,50.818280,261.14
19.201856,50.818959,242.39
19.202024,50.818670,242.39
19.202753,50.818676,242.87
19.203546,50.816973,243.83
19.204810,50.815750,249.12
19.209358,50.814123,271.23
19.225012,50.811548,277.96
19.224579,50.810561,267.86
19.229961,50.809337,281.32
19.223124,50.796914,269.79
19.223865,50.794765,264.98
19.224557,50.791088,261.14
19.225726,50.789514,266.90
19.227161,50.784392,266.42
19.227565,50.784039,266.90
19.229468,50.783509,267.86
19.230052,50.783060,267.38
19.236431,50.780603,271.23
19.239934,50.777845,274.59
19.239622,50.776923,277.96
19.240624,50.772959,281.80
19.241037,50.772909,280.84
19.265830,50.777679,288.05
19.268409,50.777343,289.49
19.271296,50.777231,292.86
19.273709,50.777491,292.86
19.274768,50.768292,307.28
19.273245,50.764792,300.07
19.268642,50.757888,286.61
19.267919,50.753058,293.82
19.268042,50.754104,291.42
19.267671,50.751922,293.34
19.267817,50.750693,297.67
19.268390,50.749973,298.63
19.269066,50.749990,300.55
19.269377,50.750271,301.03
19.271738,50.750313,308.24
19.269242,50.750229,300.07
19.269118,50.749613,300.07
19.268635,50.749642,300.55
19.268547,50.749396,299.59
19.269490,50.749387,302.95
19.269140,50.749397,301.03
19.269055,50.748714,297.67
19.270083,50.747253,302.95
19.270499,50.747044,302.47
19.274916,50.746433,309.20
19.275079,50.746848,312.57
19.275790,50.747128,313.05
19.275177,50.747017,313.05
19.275318,50.747171,313.53
19.274935,50.747263,314.97
19.275143,50.747005,313.05
19.277846,50.747548,311.12
19.280918,50.747111,321.70
19.279918,50.747712,313.05
19.280131,50.748338,313.05
19.279773,50.748800,313.53
19.279998,50.748883,313.53
19.282777,50.747573,328.91
19.284010,50.748137,337.08
19.284796,50.748194,338.52
19.284780,50.748983,327.95
19.286303,50.748953,326.50
19.286904,50.748698,321.22
19.288360,50.748538,318.33
19.289398,50.747778,313.05
19.291655,50.747630,308.72
19.294268,50.747889,305.84
19.296361,50.746869,304.88
19.296486,50.746346,303.91
19.297440,50.746396,304.39
19.298351,50.746072,304.88
19.298328,50.745747,304.39
19.318379,50.744796,323.14
19.317620,50.744088,323.62
19.327379,50.739755,334.20
19.327496,50.739069,333.71
19.329477,50.739047,335.64
19.330272,50.736606,337.08
19.330545,50.736454,337.08
19.330366,50.736336,336.12
19.332722,50.727678,330.35
19.329520,50.724993,328.43
19.328681,50.723027,326.50
19.328770,50.722294,327.47
19.329623,50.721219,325.54
19.329428,50.721264,325.06
19.333971,50.718367,331.31
19.338745,50.711847,348.62
19.338511,50.709069,341.41
19.338776,50.706945,341.41
19.339349,50.706660,340.92
19.339931,50.705106,345.73
19.339405,50.701714,334.68
19.339835,50.699159,326.50
19.340479,50.698301,334.20
19.341142,50.695553,329.39
19.341838,50.694467,335.64
19.345562,50.691981,343.33
19.347756,50.690055,368.32
19.348676,50.688288,367.36
19.349423,50.683944,351.98
19.358212,50.673324,367.84
19.363428,50.673752,379.38
19.366100,50.676189,390.43
19.366342,50.677848,387.55
19.366069,50.678588,391.87
19.367392,50.682282,382.74
19.367347,50.683210,385.15
19.373779,50.683514,362.55
19.376449,50.683874,356.79
19.378525,50.683544,355.34
19.379054,50.683746,351.50
19.383262,50.683540,340.92
19.385428,50.683885,335.64
19.389482,50.685119,329.39
19.391026,50.683187,335.16
19.393077,50.682201,344.77
19.393262,50.681812,347.17
19.392983,50.681414,348.13
19.393089,50.680976,342.37
19.394828,50.680088,333.71
19.395975,50.679819,331.31
19.397779,50.679035,326.02
19.398801,50.678891,324.58
19.400729,50.678151,321.70
19.402330,50.676213,320.74
19.402821,50.676029,314.49
19.405145,50.673670,323.62
19.409108,50.671416,329.39
19.411700,50.670783,337.08
19.415231,50.669531,352.46
19.417042,50.668463,364.96
19.423361,50.668752,332.75
19.425811,50.668444,328.91
19.430369,50.667495,328.43
19.431926,50.667404,333.71
19.434034,50.666244,326.02
